Date,ETHUSDT WAVESUSDT_cum_rets,NEOUSDT ATOMUSDT_cum_rets,LTCUSDT ONTUSDT_cum_rets,LTCUSDT HOTUSDT_cum_rets,LTCUSDT IOSTUSDT_cum_rets,LTCUSDT MITHUSDT_cum_rets,QTUMUSDT IOSTUSDT_cum_rets,EOSUSDT MITHUSDT_cum_rets,XLMUSDT ZILUSDT_cum_rets,XLMUSDT MATICUSDT_cum_rets,ONTUSDT ONGUSDT_cum_rets,ONTUSDT IOSTUSDT_cum_rets,ETCUSDT ICXUSDT_cum_rets,ETCUSDT NULSUSDT_cum_rets,ETCUSDT ONGUSDT_cum_rets,ETCUSDT ZILUSDT_cum_rets,ETCUSDT IOSTUSDT_cum_rets,ICXUSDT LINKUSDT_cum_rets,NULSUSDT ONGUSDT_cum_rets,ONGUSDT IOSTUSDT_cum_rets,HOTUSDT IOSTUSDT_cum_rets,ZRXUSDT MATICUSDT_cum_rets,FETUSDT IOSTUSDT_cum_rets,BATUSDT MATICUSDT_cum_rets
2019-06-03,1.1270658253001422,1.1138216985468279,0.9542867999355551,1.1306282195592183,1.0292303216118261,1.0094840199534434,1.034128047555951,0.9698014709123175,1.0,0.9591903953162471,1.0,0.9672132054376524,0.9161300066455091,0.9166454078750257,0.8641989731432758,0.9652647484061037,0.8888337783447244,1.0,1.0,1.0,1.0,0.963365231539,1.0,0.9592212253024538
2019-06-04,1.1270658253001422,1.1427553007193354,0.9423651549783143,1.1198775062424096,1.028731223350423,1.0019887875157834,1.0327649535202212,0.9698014709123175,1.0,1.0606806803299742,1.0,0.9585317436059908,0.9508711097319367,0.9656422589369689,0.8991817496145029,1.0552666026315654,0.9367909897657156,1.0,1.0,1.0,1.0,1.0580222578582188,1.0,1.0500554545179122
2019-06-05,1.1270658253001422,1.1340632412929608,0.9565121128083142,1.144455972154548,1.0279782816086422,0.980917547545092,1.027185272058869,0.9698014709123175,1.0,1.1188461419051658,1.0,0.9459937668030479,0.962591618730033,1.0065805795409948,0.9181676522687758,1.0552666026315654,0.9534934596123383,1.0,1.0,1.0,1.0,1.0580222578582188,1.0,1.1033055489282868
2019-06-06,1.1228395381447962,1.1581892174885366,0.9257125503762935,1.0955284994458,0.997054868325351,1.0303842561039642,1.0264728514765016,0.9865506827150406,1.0,1.1188461419051658,1.0,0.9424814282789828,0.9845421094305222,1.0065805795409948,0.957056139334228,1.0552666026315654,0.9655495685625118,1.0,1.0,1.0,1.0,1.0580222578582188,1.0,1.1033055489282868
2019-06-07,1.1395552052551647,1.1585553038698637,0.9163308598915224,1.0922189575770813,0.9940100519026486,1.0303842561039642,1.0250697948330256,0.9799207272868371,1.0,1.1188461419051658,1.0,0.9539245820812785,0.9845421094305222,1.0065805795409948,0.957056139334228,1.022679801790982,0.968239584945246,1.0,1.0,1.0,1.0,1.0427216970820192,1.0,1.0873134472277717
2019-06-08,1.1395552052551647,1.1754069725447305,0.9162566148000983,1.0845581229246846,0.9962391697152289,1.0303842561039642,1.0444344454753116,0.9581040848517768,1.0,1.061165130175769,1.0,0.953784771041018,0.9845421094305222,1.0065805795409948,0.957056139334228,1.068117366473187,0.968239584945246,1.0,1.0,1.0,1.0,0.9940225187418897,1.0,1.0365381361187889
2019-06-09,1.1327175146692383,1.1754069725447305,0.939499816763296,1.070562470899244,0.9984822744149978,1.0303842561039642,1.0583408138266015,0.9590935330703443,1.0,1.0754896667294462,1.0,0.9212194387609336,0.9845421094305222,1.0065805795409948,0.957056139334228,1.1063243161322227,0.968239584945246,1.0,1.0,1.0,1.0,0.9998863995540355,1.0,1.0445963269705993
2019-06-10,1.1430292011478183,1.1621712049216533,0.939499816763296,1.0478061806062213,0.9789173451977119,0.9416830192559564,1.0601908857943174,0.8090724923057512,1.0,1.0232632479293846,1.0,0.9431948266331904,0.9845421094305222,0.9763096373084293,0.957056139334228,1.0792745527521808,0.968239584945246,1.0,0.9999241990534794,1.0,1.0,0.9570301406997219,1.0,1.001166376008988
2019-06-11,1.1365748945166478,1.1454992257246372,0.939499816763296,1.0184439063693718,0.9528356245554015,0.994379314909086,1.0601908857943174,0.8399210761046496,1.0,1.1421435675904028,1.0,0.920696287217802,0.9845421094305222,0.9949910091208306,0.957056139334228,1.0889786369178436,0.9743006569660255,1.0,1.037618484055185,1.0,1.0,1.063961889581201,1.0,1.1064573930457995
2019-06-12,1.1553230952367208,1.1337795195023541,0.939499816763296,1.046520142566577,0.9737415850186029,0.9318769512980158,1.0601908857943174,0.7728937251838865,1.0,1.1795863863344473,1.0,0.9292556349899441,0.9845421094305222,1.046568238470322,0.9839994486194651,1.1134143429769747,0.9855067821347611,1.0,1.0442678176587359,1.014079313767321,1.0,1.099325279240702,1.0,1.1431578015023245
